# TEST CONFIGURATION BEGIN
# File Stream: filename: aep.csv  -  n_targets: 1
# [MAB_0.3_SIZE_30] Pipeline: MAB: - ensemble_size: 30 - epsilon:0.3
# Prequential Evaluator: n_wait: 1 - max_samples: 3000000 - max_time: 10000000 - output_file: aep_.csv - batch_size: 1 - pretrain_size: 10 - task_type: regression - show_plot: False - metrics: ['mean_square_error', 'mean_absolute_error', 'true_vs_predicted', 'model_size', 'running_time']
# TEST CONFIGURATION END
id,mean_mse_[MAB_0.3_SIZE_30],current_mse_[MAB_0.3_SIZE_30],mean_mae_[MAB_0.3_SIZE_30],current_mae_[MAB_0.3_SIZE_30],true_value,predicted_value_[MAB_0.3_SIZE_30],model_size_[MAB_0.3_SIZE_30],training_time_[MAB_0.3_SIZE_30],testing_time_[MAB_0.3_SIZE_30],total_running_time_[MAB_0.3_SIZE_30]
21,369.284657,830.160156,15.050247,28.812500,17.500000,46.312500,6896.798828,0.111239,0.055166,0.166405
22,388.955068,625.000000,15.815613,25.000000,15.500000,40.500000,7168.576172,0.117331,0.059650,0.176981
23,373.594717,173.910156,15.627890,13.187500,15.750000,28.937500,7444.123047,0.123509,0.064149,0.187658
24,362.107413,201.285156,15.531864,14.187500,14.250000,28.437500,7766.732422,0.129736,0.068638,0.198374
25,351.078239,185.640625,15.412685,13.625000,13.500000,27.125000,8013.029297,0.136370,0.073140,0.209511
26,369.896082,670.981568,16.029781,25.903312,13.750000,-12.153312,8306.294922,0.163145,0.077673,0.240819
27,349.346299,0.000000,15.139238,0.000000,13.750000,13.750000,8625.130859,0.169859,0.082226,0.252085
28,331.375976,7.910156,14.490462,2.812500,28.000000,30.812500,8922.416016,0.176336,0.086885,0.263220
29,318.717773,78.211914,14.208126,8.843750,44.250000,35.406250,9208.521484,0.183181,0.091510,0.274691
30,304.043712,10.562500,13.686311,3.250000,44.750000,41.500000,9519.884766,0.189980,0.096147,0.286128
31,290.258345,0.765625,13.103978,0.875000,44.750000,43.875000,9804.896484,0.197883,0.100814,0.298697
32,278.355978,16.503906,12.710871,4.062500,46.500000,42.437500,10088.494141,0.204818,0.105654,0.310471
33,280.493204,329.649414,12.937762,18.156250,19.000000,37.156250,10369.380859,0.211560,0.110284,0.321844
34,269.313476,1.000000,12.460251,1.000000,27.500000,28.500000,10644.306641,0.218143,0.115100,0.333243
35,316.057467,1484.657227,13.462982,38.531250,60.250000,21.718750,10936.880859,0.226792,0.119727,0.346518
36,370.367296,1782.422852,14.528010,42.218750,68.750000,26.531250,11241.869141,0.234144,0.124338,0.358482
37,364.077532,194.253906,14.506921,13.937500,43.250000,29.312500,11573.833984,0.241602,0.128929,0.370531
38,352.554418,29.907227,14.195260,5.468750,38.000000,32.531250,11862.634766,0.248873,0.133572,0.382445
39,341.096386,8.813477,13.821043,2.968750,36.750000,33.781250,12166.052734,0.256486,0.138135,0.394622
40,384.484532,1686.128906,14.699799,41.062500,0.000000,41.062500,12466.697266,0.263307,0.142880,0.406186
41,420.000641,1521.000000,15.459181,39.000000,0.000000,39.000000,12717.736328,0.271138,0.147519,0.418657
42,419.546549,405.015625,15.600569,20.125000,0.000000,20.125000,13039.048828,0.278505,0.152153,0.430658
43,441.206945,1156.000000,16.141729,34.000000,0.000000,34.000000,13323.259766,0.286051,0.156774,0.442825
44,457.801060,1022.000977,16.593929,31.968750,0.000000,31.968750,13608.853516,0.294355,0.161422,0.455777
45,562.480880,4226.274586,17.938815,65.009804,0.000000,65.009804,13875.630859,0.302033,0.166050,0.468083
46,578.292630,1147.515625,18.369522,33.875000,0.000000,33.875000,14157.068359,0.310666,0.170699,0.481366
47,584.778787,824.766602,18.641871,28.718750,0.000000,28.718750,14423.904297,0.318759,0.175416,0.494175
48,1176.125203,23647.289018,22.106867,153.776751,0.000000,153.776751,14663.779297,0.325982,0.180114,0.506096
49,1161.423636,588.062500,22.160446,24.250000,0.000000,24.250000,14901.775391,0.333218,0.184955,0.518172
50,1143.283825,417.691406,22.118423,20.437500,0.000000,20.437500,15093.400391,0.340814,0.189902,0.530716
51,1116.062782,0.000000,21.591794,0.000000,0.000000,0.000000,15315.767578,0.349047,0.194613,0.543660
52,1094.248663,178.055664,21.399979,13.343750,0.000000,13.343750,15523.705078,0.356360,0.199688,0.556048
53,1071.023162,72.326635,21.106900,8.504507,0.000000,-8.504507,15749.384766,0.365888,0.204507,0.570395
54,1053.000772,260.015625,20.996191,16.125000,0.000000,16.125000,15959.103516,0.374424,0.209080,0.583503
55,1035.761965,260.015625,20.890295,16.125000,0.000000,16.125000,16115.689453,0.383000,0.213732,0.596732
56,1013.724476,0.000000,20.445821,0.000000,0.000000,0.000000,16330.001953,0.391507,0.218339,0.609845
57,992.605216,-0.000000,20.019866,-0.000000,0.000000,0.000000,16513.837891,0.399041,0.223034,0.622075
58,972.347967,-0.000000,19.611298,-0.000000,0.000000,0.000000,16684.189453,0.407088,0.227709,0.634797
59,952.901008,-0.000000,19.219072,-0.000000,0.000000,0.000000,16844.087891,0.415797,0.232319,0.648116
60,934.216674,-0.000000,18.842227,-0.000000,0.000000,0.000000,16966.490234,0.424692,0.236945,0.661637
61,916.370577,6.219601,18.527837,2.493913,0.000000,2.493913,17125.677734,0.433639,0.241891,0.675530
62,899.080566,0.000000,18.178255,0.000000,0.000000,0.000000,17270.458984,0.441416,0.246955,0.688371
63,882.430926,0.000000,17.841620,0.000000,0.000000,0.000000,17421.548828,0.450701,0.251780,0.702481
64,866.386727,0.000000,17.517227,0.000000,0.000000,0.000000,17517.107422,0.458489,0.256610,0.715099
65,850.915535,0.000000,17.204420,0.000000,0.000000,0.000000,17660.322266,0.466135,0.261453,0.727588
66,835.987193,0.000000,16.902588,0.000000,0.000000,0.000000,17761.318359,0.474422,0.266437,0.740859
67,821.573620,0.000000,16.611164,0.000000,0.000000,0.000000,17833.220703,0.481982,0.271273,0.753255
68,807.648644,0.000000,16.329619,0.000000,0.000000,0.000000,17924.064453,0.489460,0.276848,0.766309
69,794.187833,0.000000,16.057458,0.000000,0.000000,0.000000,18043.056641,0.497893,0.281743,0.779637
70,781.168360,0.000000,15.794221,0.000000,0.000000,0.000000,18085.306641,0.506051,0.286627,0.792677
71,768.568871,0.000000,15.539476,0.000000,0.000000,0.000000,18152.642578,0.513731,0.291935,0.805666
72,756.369365,0.000000,15.292817,0.000000,0.000000,0.000000,18221.517578,0.521675,0.296884,0.818559
73,744.551094,0.000000,15.053867,0.000000,0.000000,0.000000,18284.884766,0.529430,0.302385,0.831815
74,733.096461,0.000000,14.822269,0.000000,0.000000,0.000000,18352.697266,0.536872,0.307455,0.844327
75,721.988939,0.000000,14.597689,0.000000,0.000000,0.000000,18423.470703,0.545522,0.312339,0.857861
76,711.212985,0.000000,14.379813,0.000000,0.000000,0.000000,18491.876953,0.553308,0.317334,0.870641
77,700.753970,0.000000,14.168346,0.000000,0.000000,0.000000,18556.650391,0.560908,0.322278,0.883186
78,696.432705,402.586638,14.253798,20.064562,0.000000,20.064562,18623.400391,0.568937,0.327140,0.896077
79,686.483666,0.000000,14.050172,0.000000,0.000000,0.000000,18693.580078,0.577813,0.332035,0.909848
80,676.814882,0.000000,13.852283,0.000000,0.000000,0.000000,18788.892578,0.586403,0.336993,0.923396
81,667.414675,0.000000,13.659890,0.000000,0.000000,0.000000,18823.634766,0.593636,0.341879,0.935515
82,658.272009,0.000000,13.472768,0.000000,0.000000,0.000000,18893.103516,0.601999,0.346690,0.948688
83,649.376441,0.000000,13.290704,0.000000,0.000000,0.000000,18989.220703,0.610964,0.351998,0.962962
84,640.718088,0.000000,13.113494,0.000000,0.000000,0.000000,19023.689453,0.618475,0.356902,0.975377
85,632.287587,0.000000,12.940948,0.000000,0.000000,0.000000,19093.212891,0.627449,0.361939,0.989388
86,624.076060,0.000000,12.772884,0.000000,0.000000,0.000000,19156.994141,0.635325,0.366843,1.002167
87,642.909220,2093.062500,13.195667,45.750000,45.750000,0.000000,19220.361328,0.643609,0.371890,1.015500
88,658.999767,1914.062500,13.582431,43.750000,43.750000,0.000000,19279.611328,0.651516,0.376800,1.028316
89,702.463491,4136.097656,14.216557,64.312500,75.500000,11.187500,19410.400391,0.660183,0.381873,1.042056
90,736.539089,3462.586914,14.767510,58.843750,73.750000,14.906250,19513.791016,0.668381,0.386988,1.055368
91,752.977553,2084.493164,15.144202,45.656250,75.500000,29.843750,19612.205078,0.677033,0.392980,1.070013
92,745.941678,168.999912,15.118368,12.999997,62.500000,75.499997,19697.173828,0.684584,0.397941,1.082524
93,737.401368,28.555664,15.002004,5.343750,41.750000,47.093750,19852.392578,0.692104,0.402964,1.095068
94,730.613640,160.444444,14.974529,12.666667,47.250000,59.916667,19985.220703,0.700002,0.407969,1.107972
95,723.232978,95.876736,14.914263,9.791667,72.500000,62.708333,20121.705078,0.709501,0.412945,1.122446
96,717.593088,232.562500,14.918122,15.250000,46.250000,61.500000,20242.662109,0.716066,0.417972,1.134038
97,713.197543,330.785156,14.955274,18.187500,39.000000,57.187500,20436.951172,0.722447,0.422977,1.145424
98,706.482542,115.562500,14.908024,10.750000,37.250000,48.000000,20558.244141,0.729179,0.428200,1.157379
99,698.673112,3.633789,14.763560,1.906250,38.000000,39.906250,20730.974609,0.736431,0.433213,1.169643
100,691.100564,9.571289,14.635320,3.093750,37.250000,34.156250,20902.634766,0.743250,0.438497,1.181746
101,684.397195,74.390625,14.569991,8.625000,37.250000,45.875000,21076.353516,0.749743,0.443525,1.193268
102,677.038758,0.062500,14.416012,0.250000,37.500000,37.250000,21256.166016,0.756722,0.448498,1.205221
103,669.836883,0.062500,14.265310,0.250000,37.250000,37.500000,21457.568359,0.765628,0.453551,1.219179
104,664.389844,152.368164,14.245083,12.343750,40.250000,52.593750,21627.189453,0.774551,0.458866,1.233417
105,658.831787,130.816406,14.215837,11.437500,67.750000,56.312500,21775.958984,0.783742,0.463970,1.247712
106,674.335689,2162.710272,14.548715,46.504949,68.750000,22.245051,21992.599609,0.792772,0.468979,1.261751
107,676.638386,899.999999,14.706381,30.000000,38.750000,68.750000,22146.935547,0.801736,0.474054,1.275790
108,672.106786,228.010000,14.710357,15.100000,41.250000,56.350000,22373.220703,0.810319,0.479135,1.289454
109,669.335874,395.015625,14.762003,19.875000,68.500000,48.625000,22578.826172,0.818983,0.484204,1.303187
110,667.946410,529.000000,14.843568,23.000000,65.750000,42.750000,22782.396484,0.828076,0.489338,1.317413
111,661.486151,9.000000,14.727454,3.000000,38.750000,41.750000,22951.318359,0.837815,0.494337,1.332152
112,715.035404,6177.059164,15.347520,78.594269,27.500000,-51.094269,23196.138672,0.847261,0.499331,1.346591
113,708.309140,15.503906,15.237809,3.937500,25.750000,29.687500,23402.783203,0.856702,0.504373,1.361076
114,705.222751,384.238330,15.279372,19.601998,23.500000,43.101998,23634.072266,0.865150,0.509426,1.374576
115,698.642681,7.735352,15.161466,2.781250,23.250000,26.031250,23859.310547,0.873726,0.514714,1.388439
116,692.262843,16.000000,15.057153,4.000000,25.000000,29.000000,24092.228516,0.881933,0.519937,1.401870
117,691.062068,562.579102,15.137353,23.718750,55.750000,32.031250,24322.626953,0.889672,0.525031,1.414702
118,685.273081,60.062500,15.069579,7.750000,50.500000,42.750000,24576.587891,0.897237,0.530153,1.427391
119,679.056145,1.410156,14.943378,1.187500,49.250000,48.062500,24821.681641,0.905734,0.535210,1.440944
120,674.153897,134.906594,14.913392,11.614930,47.500000,59.114930,25069.509766,0.913268,0.540488,1.453755
